,Close,RSI,BBBuy,BBSell,MACDLine,MACDSignal,SMA5,SMA15,SMA30,SMA40,SMA100,Decision
886,29.4,46.32817553,23.59736805,30.31705851,0.425368719,0.362729247,29.9812004,29.74800027,28.17806677,27.83730007,31.49022003,Yes
887,29.872,53.26305153,23.55917963,30.40115671,0.409206215,0.372024641,29.8580002,29.7708002,28.3598001,27.88525007,31.51022003,Yes
888,30.256001,58.36868482,23.52899002,30.48041985,0.422512525,0.382122217,29.8920004,29.81533367,28.5591335,27.9519001,31.53344004,Yes
889,29.506001,46.73521628,23.48360946,30.48258424,0.368293679,0.37935651,29.7892006,29.74960033,28.7370669,27.9660501,31.54450005,Yes
890,29.143999,42.01921667,23.43079982,30.42419179,0.292739795,0.362033167,29.6356002,29.71946687,28.9052002,28.0056501,31.54614004,Yes
891,27.868,29.69621001,23.34359044,30.37495179,0.128419996,0.315310533,29.3292002,29.70106693,28.98786687,28.0088501,31.52566004,Yes
892,32.254002,67.69234608,23.35541003,30.5607366,0.348096439,0.321867714,29.8056006,29.941467,29.21446697,28.12720015,31.55248005,Yes
893,32.826,70.14716129,23.38936845,30.72047535,0.561870171,0.369868205,30.3196004,30.21586707,29.48086697,28.27060015,31.56654005,Yes
894,34.194,75.36910268,23.41350261,31.15154705,0.832081839,0.462310932,31.2572002,30.47666707,29.65600027,28.51755015,31.58480005,Yes
895,34.001999,73.2704555,23.44405368,31.50845699,1.018987405,0.573646227,32.2288002,30.67013367,29.86306687,28.73715012,31.59638002,Yes
896,35.335999,78.19255143,23.47567272,31.98679641,1.260226952,0.710962372,33.7224,31.01093353,30.10440013,29.0150001,31.61572001,Yes
897,35.712002,79.43767649,23.52011447,32.44913036,1.464865275,0.861742952,34.414,31.35920027,30.37906687,29.29730015,31.63994002,Yes
898,36.299999,81.37755854,23.56840239,32.93453465,1.655406568,1.020475675,35.1087998,31.77346687,30.64506683,29.59790015,31.67081999,Yes
899,34.919998,64.67170933,23.65741541,33.23637543,1.675740475,1.151528635,35.2539994,32.1001334,30.86113343,29.86670012,31.68201998,Yes
900,33.924,55.14026707,23.75757018,33.43331089,1.593122009,1.23984731,35.2383996,32.3676,31.06093343,30.11230012,31.68338,Yes
901,35.675999,65.55766115,23.76782372,33.75975551,1.649997809,1.32187741,35.3063996,32.78599993,31.2670001,30.3695001,31.69889998,Yes
