,Closing,RSI,MACD,BB,SMA1,SMA2,Decision
106,5.348,Hold,Buy,Hold,Sell,Buy,Yes
107,5.278,Hold,Buy,Hold,Sell,Buy,Yes
108,5.386,Hold,Buy,Hold,Sell,Buy,Yes
109,5.416,Hold,Buy,Hold,Sell,Buy,Yes
110,5.532,Hold,Buy,Hold,Sell,Buy,Yes
111,5.52,Hold,Buy,Hold,Sell,Buy,Yes
112,5.49,Hold,Buy,Hold,Sell,Buy,Yes
113,5.374,Hold,Buy,Sell,Sell,Buy,Yes
114,5.337999999999999,Hold,Buy,Sell,Buy,Buy,Yes
115,5.287999999999999,Hold,Sell,Sell,Buy,Buy,Yes
116,5.4239999999999995,Hold,Sell,Sell,Buy,Buy,Yes
117,5.582000000000001,Hold,Buy,Hold,Buy,Buy,Yes
118,5.666,Hold,Buy,Hold,Buy,Buy,Yes
119,5.414,Hold,Buy,Sell,Buy,Buy,Yes
120,5.534,Hold,Buy,Hold,Buy,Buy,Yes
121,5.51,Hold,Sell,Hold,Buy,Buy,Yes
122,5.32,Hold,Sell,Sell,Buy,Buy,Yes
123,5.192,Hold,Sell,Sell,Buy,Buy,Yes
124,5.27,Hold,Sell,Sell,Buy,Buy,Yes
125,5.64,Hold,Sell,Hold,Buy,Buy,Yes
126,5.593999999999999,Hold,Sell,Hold,Buy,Buy,Yes
127,5.364,Hold,Sell,Sell,Buy,Buy,Yes
128,5.343999999999999,Hold,Sell,Sell,Buy,Buy,Yes
129,5.796,Hold,Buy,Hold,Buy,Buy,Yes
130,5.896,Hold,Buy,Hold,Buy,Buy,Yes
131,5.91,Hold,Buy,Hold,Buy,Buy,Yes
132,6.028,Hold,Buy,Hold,Buy,Buy,Yes
133,5.704,Hold,Buy,Sell,Buy,Buy,Yes
134,5.752000000000001,Hold,Buy,Hold,Buy,Buy,Yes
135,6.026,Hold,Buy,Hold,Buy,Buy,Yes
136,5.74,Hold,Buy,Sell,Buy,Buy,No
137,5.6739999999999995,Hold,Sell,Sell,Buy,Buy,No
138,5.4239999999999995,Hold,Sell,Sell,Buy,Buy,No
139,5.524,Hold,Sell,Sell,Buy,Buy,No
140,5.572,Hold,Sell,Sell,Buy,Buy,No
141,5.686,Hold,Sell,Sell,Buy,Buy,No
142,5.72,Hold,Sell,Sell,Buy,Buy,No
143,5.4639999999999995,Hold,Sell,Sell,Buy,Buy,No
144,5.3,Hold,Sell,Sell,Buy,Buy,No
145,5.3,Hold,Sell,Sell,Buy,Buy,No
146,5.202000000000001,Hold,Sell,Sell,Buy,Buy,No
147,5.506,Hold,Sell,Sell,Buy,Buy,No
148,5.442,Hold,Sell,Sell,Buy,Buy,No
149,5.542000000000001,Hold,Sell,Sell,Buy,Buy,No
150,5.513999999999999,Hold,Sell,Sell,Buy,Sell,No
151,5.492000000000001,Hold,Sell,Sell,Buy,Sell,No
152,5.622000000000001,Hold,Sell,Sell,Buy,Sell,No
153,5.6579999999999995,Hold,Buy,Sell,Buy,Sell,No
154,5.8260000000000005,Hold,Buy,Hold,Buy,Sell,No
155,5.803999999999999,Hold,Buy,Sell,Buy,Sell,No
156,5.827999999999999,Hold,Buy,Sell,Buy,Sell,No
157,5.792000000000001,Hold,Buy,Sell,Buy,Sell,No
158,5.946000000000001,Hold,Buy,Hold,Buy,Sell,No
159,5.7620000000000005,Hold,Buy,Sell,Buy,Buy,No
160,5.67,Hold,Buy,Sell,Buy,Buy,No
161,5.6339999999999995,Hold,Buy,Sell,Buy,Buy,No
162,5.728,Hold,Buy,Sell,Buy,Buy,No
163,5.522,Hold,Sell,Sell,Buy,Buy,No
164,5.516,Hold,Sell,Sell,Buy,Buy,No
165,5.446000000000001,Hold,Sell,Sell,Buy,Buy,No
166,5.577999999999999,Hold,Sell,Sell,Buy,Buy,No
167,5.7379999999999995,Hold,Sell,Sell,Buy,Buy,No
168,5.74,Hold,Sell,Sell,Buy,Buy,No
169,5.858,Hold,Buy,Hold,Buy,Buy,No
170,5.6979999999999995,Hold,Buy,Sell,Buy,Buy,No
171,5.6,Hold,Sell,Sell,Buy,Buy,No
172,5.528,Hold,Sell,Sell,Buy,Buy,No
173,5.6339999999999995,Hold,Sell,Sell,Buy,Buy,No
174,5.6339999999999995,Hold,Sell,Sell,Buy,Buy,No
175,5.754,Hold,Sell,Sell,Buy,Buy,No
176,5.468,Hold,Sell,Sell,Buy,Buy,No
177,5.44,Hold,Sell,Sell,Buy,Buy,No
178,4.95,Buy,Sell,Buy,Buy,Sell,No
179,4.848,Buy,Sell,Buy,Buy,Sell,No
180,4.728,Buy,Sell,Buy,Buy,Sell,No
181,5.012,Hold,Sell,Buy,Buy,Sell,No
182,4.763999999999999,Hold,Sell,Buy,Buy,Sell,No
183,5.06,Hold,Sell,Sell,Buy,Sell,No
184,5.2620000000000005,Hold,Sell,Sell,Buy,Sell,No
185,5.246,Hold,Sell,Sell,Buy,Sell,No
